name|1st Serve %|1st Serve Won %|2nd Serve Won %|1st Serve Effectiveness|Serve Rating|Service Points Won %|Svc. In-play Pts. Won %|Points per Service Game|Pts. Lost per Svc. Game|Break Points Saved %|BPs per Svc. Game|BPs Faced per Set|BPs Faced per Match|Service Games Won %|Svc. Gms. Lost per Set|Svc. Gms. Lost per Match
Nicolas Almagro|58.1|74.8|52.8|1.42|337|65.6|63.8|6.29|2.16|62.0|0.46|2.27|5.7|82.5|0.87|2.2
Feliciano Lopez|58.5|76.3|51.8|1.47|344|66.1|64.3|6.35|2.15|65.5|0.47|2.36|6.1|83.8|0.81|2.1
Mardy Fish|53.9|77.3|52.2|1.48|337|65.7|63.4|6.27|2.15|62.4|0.47|2.29|5.8|82.3|0.86|2.2
Ivo Karlovic|65.5|82.7|53.3|1.55|384|72.5|67.9|6.10|1.67|70.9|0.28|1.49|3.8|92.0|0.43|1.1
Karel Novacek|56.9|73.4|50.0|1.47|326|63.3|62.2|6.53|2.40|62.0|0.55|2.61|6.7|79.1|0.99|2.5
Martin Jaite|51.7|69.2|50.1|1.38|303|60.0|59.4|6.52|2.61|56.2|0.62|2.99|7.2|72.9|1.31|3.1
Jiri Novak|65.2|68.7|50.3|1.37|323|62.3|62.0|6.43|2.43|59.8|0.59|2.76|7.0|76.5|1.11|2.8
Radek Stepanek|62.1|72.8|50.7|1.43|332|64.4|64.1|6.36|2.26|61.8|0.50|2.41|6.2|80.8|0.92|2.4
Rainer Schuettler|59.1|68.4|51.2|1.34|311|61.3|62.2|6.41|2.48|57.6|0.61|2.90|7.3|74.3|1.23|3.1
Dominik Hrbaty|56.7|71.2|49.7|1.43|314|61.9|62.8|6.44|2.45|59.6|0.60|2.85|7.3|75.9|1.15|2.9
Guillermo Perez Roldan|68.2|63.4|50.2|1.26|312|59.2|59.5|6.68|2.73|58.4|0.68|3.22|7.3|71.7|1.34|3.0
Sjeng Schalken|62.3|69.2|49.9|1.39|318|62.0|62.9|6.52|2.48|59.6|0.58|2.78|7.1|76.4|1.12|2.9
Karol Kucera|55.6|70.8|48.2|1.47|304|60.8|62.2|6.52|2.56|56.1|0.62|2.92|7.3|73.0|1.28|3.2
Malivai Washington|59.1|72.0|51.7|1.39|327|63.7|63.7|6.51|2.36|61.0|0.51|2.43|6.2|80.2|0.95|2.4
Alberto Mancini|63.1|67.0|51.2|1.31|317|61.2|61.4|6.60|2.56|59.9|0.63|2.98|7.5|74.6|1.20|3.0
Mikael Pernfors|52.5|66.5|49.2|1.35|294|58.3|58.8|6.48|2.70|56.9|0.74|3.42|8.2|68.2|1.47|3.5
Jimmy Arias|69.1|63.2|49.1|1.29|308|58.8|60.1|6.59|2.71|57.9|0.72|3.39|8.3|69.6|1.43|3.5
Juan Monaco|67.8|65.1|52.5|1.24|316|61.1|61.5|6.42|2.50|56.4|0.59|2.83|6.9|74.1|1.23|3.0
Jonas Svensson|64.6|66.0|48.7|1.36|313|59.8|59.9|6.70|2.69|60.0|0.68|3.18|8.2|72.9|1.27|3.3
Nicolas Lapentti|60.4|70.2|48.4|1.45|316|61.6|61.3|6.51|2.50|59.2|0.61|2.91|7.5|75.3|1.19|3.1
Marcos Baghdatis|53.1|74.8|51.5|1.45|325|63.9|63.1|6.37|2.30|60.3|0.51|2.47|6.3|79.9|0.98|2.5
David Wheaton|60.0|73.6|48.0|1.54|328|63.4|63.3|6.68|2.45|62.9|0.56|2.68|7.1|79.4|0.99|2.6
Nicolas Massu|58.9|70.0|50.7|1.38|318|62.1|62.3|6.55|2.49|61.5|0.64|3.04|7.5|75.5|1.17|2.9
Juan Ignacio Chela|60.4|68.1|50.8|1.34|312|61.3|62.1|6.46|2.50|58.4|0.63|2.96|7.5|73.9|1.23|3.1
Amos Mansdorf|57.5|69.8|52.0|1.34|320|62.2|62.2|6.57|2.48|61.4|0.58|2.79|6.9|77.6|1.08|2.7
Jakob Hlasek|59.3|74.0|48.6|1.52|325|63.6|63.7|6.52|2.37|60.4|0.52|2.54|6.4|79.3|1.01|2.6
Jaime Yzaga|59.5|65.8|50.4|1.31|305|59.5|60.8|6.71|2.72|58.3|0.67|3.17|8.3|72.2|1.32|3.5
Carlos Costa|55.5|69.3|48.7|1.42|305|60.2|60.0|6.60|2.63|56.9|0.63|3.00|7.4|72.7|1.29|3.2
Janko Tipsarevic|56.4|73.6|51.9|1.42|329|64.1|62.9|6.39|2.29|61.2|0.51|2.51|6.3|80.1|0.97|2.5
Nicolas Escude|56.3|72.8|50.2|1.45|321|62.9|62.5|6.46|2.40|60.2|0.56|2.68|6.9|77.9|1.07|2.7
Juan Aguilera|57.0|63.0|41.3|1.52|267|53.6|54.8|6.44|2.98|49.7|0.83|3.68|8.4|58.0|1.85|4.2
Andrei Pavel|64.6|69.0|49.6|1.39|322|62.1|61.3|6.49|2.46|59.0|0.57|2.73|6.8|76.7|1.12|2.8
Ramesh Krishnan|69.0|61.7|48.6|1.27|297|57.6|59.4|6.40|2.71|53.2|0.71|3.31|8.1|67.0|1.55|3.8
Fabrice Santoro|57.6|67.0|50.7|1.32|309|60.1|60.3|6.62|2.64|59.5|0.67|3.16|8.0|72.9|1.28|3.2
Jurgen Melzer|61.4|69.7|50.6|1.38|323|62.4|62.0|6.46|2.43|60.2|0.56|2.72|7.0|77.6|1.08|2.8
Younes El Aynaoui|61.9|72.9|50.6|1.44|334|64.4|63.7|6.46|2.30|63.2|0.52|2.56|6.5|80.8|0.94|2.4
