name|1st Srv. Return Won %|2nd Srv. Return Won %|Return Rating|Return Points Won %|Rtn. In-play Pts. Won %|Points per Return Game|Pts. Won per Rtn. Game|Break Points Won %|BPs per Return Game|BPs per Set|BPs per Match|Return Games Won %|Rtn. Gms. Won per Set|Rtn. Gms. Won per Match
Jeremy Chardy|27.3|48.4|132|35.4|36.0|6.38|2.26|37.4|0.51|2.50|6.4|18.9|0.94|2.4
Mikael Tillstrom|28.5|52.0|145|38.4|38.5|6.67|2.56|40.2|0.60|2.87|7.8|24.1|1.15|3.1
Christian Bergstrom|32.2|52.2|156|40.5|40.7|6.67|2.70|43.4|0.65|3.13|7.8|28.4|1.36|3.4
Michiel Schapers|27.1|47.0|125|34.7|33.8|6.33|2.20|34.3|0.49|2.37|6.3|16.7|0.81|2.2
Andrei Olhovskiy|27.8|48.9|132|36.1|36.3|6.62|2.39|36.5|0.53|2.59|6.6|19.2|0.95|2.4
Andrew Ilie|28.0|49.1|134|36.7|36.7|6.47|2.37|36.4|0.57|2.69|7.1|20.7|0.98|2.6
Bryan Shelton|26.5|48.5|126|35.0|33.9|6.58|2.30|35.1|0.46|2.28|5.9|16.2|0.80|2.1
Carlos Berlocq|31.0|50.3|147|38.6|38.2|6.49|2.51|40.8|0.62|2.91|7.2|25.1|1.19|2.9
Christian Saceanu|27.1|47.3|129|35.0|34.0|6.29|2.20|36.9|0.47|2.29|6.2|17.2|0.85|2.3
David Sanchez|32.4|51.5|154|40.1|39.9|6.49|2.60|42.3|0.66|3.11|7.6|28.0|1.32|3.2
Denis Istomin|27.2|47.6|131|35.3|35.5|6.39|2.26|38.1|0.49|2.38|6.0|18.5|0.91|2.3
Florent Serra|27.9|49.3|138|36.3|37.9|6.37|2.32|39.5|0.53|2.58|6.6|21.0|1.02|2.6
Francesco Cancellotti|38.0|46.2|145|40.9|41.4|6.60|2.70|35.7|0.70|3.11|7.0|25.0|1.11|2.5
