name|Aces|Ace %|Aces per Svc. Game|Aces per Set|Aces per Match|Double Faults|Double Fault %|DFs per 2nd Serve %|DFs per Svc. Game|DFs per Set|DFs per Match|Aces / DFs Ratio|Ace Against|Ace Against %|Double Faults Against|Double Fault Against %
Cameron Norrie|1141|6.0|0.38|1.85|4.6|740|3.9|11.3|0.25|1.20|3.0|1.54|1524|8.0|684|3.6
Jannik Sinner|730|5.9|0.38|1.86|4.6|335|2.7|6.7|0.18|0.85|2.1|2.18|772|6.2|446|3.6
Matteo Berrettini|2083|12.2|0.75|3.73|10.0|419|2.5|6.6|0.15|0.75|2.0|4.97|1044|5.9|638|3.6
Marin Cilic|8064|11.5|0.72|3.53|9.3|2593|3.7|8.6|0.23|1.14|3.0|3.11|5177|7.1|2511|3.5
Denis Shapovalov|2383|10.1|0.63|3.15|8.2|1528|6.5|15.9|0.40|2.02|5.3|1.56|1172|4.9|937|3.9
Frances Tiafoe|1783|8.1|0.52|2.59|7.0|651|3.0|7.7|0.19|0.95|2.6|2.74|2434|11.2|818|3.8
Karen Khachanov|2736|9.4|0.60|2.96|7.9|961|3.3|8.8|0.21|1.04|2.8|2.85|2063|7.0|1039|3.5
Roberto Bautista Agut|1846|4.0|0.25|1.23|3.2|1115|2.4|7.2|0.15|0.74|1.9|1.66|4251|9.0|1760|3.7
Nick Kyrgios|4418|18.1|1.12|5.65|15.0|1011|4.1|12.1|0.26|1.29|3.4|4.37|2723|11.2|944|3.9
Lorenzo Musetti|293|4.0|0.26|1.24|3.0|191|2.6|7.7|0.17|0.81|2.0|1.53|402|5.6|258|3.6
Alex De Minaur|826|4.4|0.29|1.37|3.5|570|3.0|7.8|0.20|0.95|2.4|1.45|1340|7.1|695|3.7
Diego Sebastian Schwartzman|828|2.6|0.17|0.79|2.0|1188|3.7|10.0|0.24|1.13|2.9|0.70|2338|7.1|1276|3.9
Borna Coric|1969|7.6|0.48|2.35|6.1|718|2.8|7.4|0.18|0.86|2.2|2.74|2341|9.0|945|3.6
Daniel Evans|1054|5.3|0.35|1.67|4.5|678|3.4|8.9|0.22|1.07|2.9|1.55|1657|8.4|709|3.6
Grigor Dimitrov|4118|8.5|0.53|2.63|6.8|2117|4.3|11.6|0.27|1.35|3.5|1.95|3380|6.9|1773|3.6
Miomir Kecmanovic|655|5.2|0.34|1.63|4.0|346|2.7|7.0|0.18|0.86|2.1|1.89|1198|9.5|539|4.3
Francisco Cerundolo|132|3.3|0.22|1.03|2.5|160|4.0|10.7|0.26|1.25|3.1|0.83|187|4.5|123|3.0
Alejandro Davidovich Fokina|263|2.6|0.17|0.84|2.2|336|3.4|10.5|0.22|1.07|2.8|0.78|663|6.7|351|3.5
Tommy Paul|645|5.4|0.35|1.69|4.3|345|2.9|7.4|0.19|0.91|2.3|1.87|762|6.4|457|3.8
Sebastian Korda|552|6.9|0.45|2.17|5.5|259|3.2|9.1|0.21|1.02|2.6|2.13|414|5.2|279|3.5
Maxime Cressy|891|17.8|1.10|5.64|14.6|479|9.6|25.0|0.59|3.03|7.9|1.86|449|8.9|206|4.1
Botic Van De Zandschulp|483|7.7|0.50|2.40|6.1|297|4.7|12.9|0.31|1.48|3.8|1.63|373|5.8|225|3.5
Yoshihito Nishioka|372|2.4|0.16|0.73|1.9|324|2.1|6.1|0.14|0.64|1.6|1.15|1668|10.9|610|4.0
Alexander Bublik|2338|15.8|1.02|5.02|12.5|1233|8.3|19.9|0.54|2.65|6.6|1.90|885|6.1|491|3.4
Reilly Opelka|3053|21.8|1.35|7.10|18.2|482|3.4|9.5|0.21|1.12|2.9|6.33|1297|9.5|517|3.8
Albert Ramos|1850|4.2|0.28|1.33|3.3|1371|3.1|8.3|0.20|0.98|2.5|1.35|3139|7.2|1606|3.7
Emil Ruusuvuori|479|5.4|0.34|1.63|4.0|414|4.7|13.7|0.30|1.41|3.5|1.16|628|6.8|405|4.4
John Isner|13977|21.2|1.30|6.96|18.6|1715|2.6|8.4|0.16|0.85|2.3|8.15|6054|9.2|2484|3.8
Jack Draper|205|10.3|0.67|3.25|7.1|81|4.1|10.0|0.26|1.29|2.8|2.53|192|9.7|74|3.7
Sebastian Baez|77|2.2|0.15|0.68|1.6|88|2.5|9.2|0.17|0.77|1.9|0.88|170|4.7|111|3.1
Arthur Rinderknech|695|12.5|0.79|3.86|9.9|142|2.5|7.3|0.16|0.79|2.0|4.89|409|7.5|168|3.1
Lorenzo Sonego|1068|7.6|0.48|2.41|6.1|340|2.4|6.9|0.15|0.77|1.9|3.14|595|4.3|506|3.6
Adrian Mannarino|2453|6.0|0.39|1.85|4.7|1340|3.3|8.3|0.21|1.01|2.6|1.83|3691|9.1|1557|3.8
Brandon Nakashima|510|9.7|0.60|3.02|7.3|122|2.3|6.1|0.14|0.72|1.7|4.18|560|10.4|222|4.1
Jenson Brooksby|174|3.7|0.24|1.12|2.8|84|1.8|5.1|0.12|0.54|1.3|2.07|319|6.9|175|3.8
